unix_ms,kind,node_id,src,label,rssi,marker_index
1782652470149,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652470149,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652470149,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652470415,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652470429,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652470441,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652470451,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-72,
1782652470464,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652470486,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652470657,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652470700,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652470710,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652470720,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652470739,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652470750,sample,0,e8:3d:c1:85:d4:18,inside-5m,-71,
1782652471004,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652471017,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652471027,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-72,
1782652471036,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652471048,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652471058,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652471261,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471275,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471287,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471316,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471570,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652471579,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652471615,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652471633,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652471642,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652471827,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652471838,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471854,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471872,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471884,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652471928,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652472156,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652472167,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-72,
1782652472179,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-72,
1782652472190,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652472205,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652472236,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652472442,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652472452,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652472463,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652472478,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652472488,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652472748,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652472757,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-72,
1782652472768,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652472778,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652472787,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652473005,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652473018,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
1782652473063,sample,0,e8:3d:c1:85:d4:18,inside-5m,-71,
1782652473074,sample,0,e8:3d:c1:85:d4:18,inside-5m,-72,
1782652473088,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652473101,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652473301,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-72,
1782652473310,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652473319,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652473335,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-74,
1782652473398,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652473422,sample,0,e8:3d:c1:85:e6:b4,inside-5m,-73,
1782652473616,sample,0,e8:3d:c1:85:d4:18,inside-5m,-71,
1782652473628,sample,0,e8:3d:c1:85:d4:18,inside-5m,-74,
1782652473659,sample,0,e8:3d:c1:85:d4:18,inside-5m,-73,
