unix_ms,node_id,broadcast_hello_cycles,broadcast_topo_cycles,process_packet_hello_cycles,process_packet_topo_cycles,calc_state_mds_total_cycles,calc_state_kabsch_cycles,calc_state_mds_iter_cycles,calc_state_routing_update_cycles,calc_state_build_neighbors_cycles,update_screen_mds_cycles,update_screen_table_cycles,broadcast_hello_ns,broadcast_topo_ns,process_packet_hello_ns,process_packet_topo_ns,calc_state_mds_total_ns,calc_state_kabsch_ns,calc_state_mds_iter_ns,calc_state_routing_update_ns,calc_state_build_neighbors_ns,update_screen_mds_ns,update_screen_table_ns
1782670061515,1,75664,33217,70065,100623,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061519,7,71200,35008,70987,100639,7364880,68947,7271090,329146,82887,0,0,445000.000,218800.000,443668.750,628993.750,46030500.000,430918.750,45444312.500,2057162.500,518043.750,0.000,0.000
1782670061522,5,71679,35117,70987,97900,7727430,72203,7629770,376272,146211,19237415,8933774,447993.750,219481.250,443668.750,611875.000,48296437.500,451268.750,47686062.500,2351700.000,913818.750,120233843.750,55836087.500
1782670061527,1,75664,33217,70065,100623,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061540,1,74392,33217,70065,100623,128182,0,90270,118844,10621,0,0,464950.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061556,5,71679,35117,70987,7281,7688002,72203,7589078,297116,82771,19237415,8933774,447993.750,219481.250,443668.750,45506.250,48050012.500,451268.750,47431737.500,1856975.000,517318.750,120233843.750,55836087.500
1782670061574,5,71679,35117,70987,7281,7688002,72203,7589078,297116,82771,19237415,8933774,447993.750,219481.250,443668.750,45506.250,48050012.500,451268.750,47431737.500,1856975.000,517318.750,120233843.750,55836087.500
1782670061592,6,64998,34223,71607,101247,7566302,72207,7468638,300833,83401,0,0,406237.500,213893.750,447543.750,632793.750,47289387.500,451293.750,46678987.500,1880206.250,521256.250,0.000,0.000
1782670061609,5,71679,35117,70987,7281,7556184,68947,7461780,305092,82771,19237415,8933774,447993.750,219481.250,443668.750,45506.250,47226150.000,430918.750,46636125.000,1906825.000,517318.750,120233843.750,55836087.500
1782670061681,9,36982,35097,0,4972,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,31075.000,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061688,10,70217,36682,114123,5378,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,33612.500,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061699,9,36982,35097,0,85435,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,533968.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061699,10,70217,36682,114123,5378,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,33612.500,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061714,3,74384,138219,122653,5391,130044,0,90270,129534,40512,18413014,0,464900.000,863868.750,766581.250,33693.750,812775.000,0.000,564187.500,809587.500,253200.000,115081337.500,0.000
1782670061720,10,70217,36682,114123,4970,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,31062.500,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061721,9,36982,35097,0,85435,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,533968.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061732,10,70217,36682,114123,4970,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,31062.500,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061732,9,36982,35097,0,85435,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,533968.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061749,10,70217,36682,114123,4970,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,31062.500,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061753,9,36982,35097,0,85435,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,533968.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061766,10,70217,36682,114123,4970,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,31062.500,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061778,9,36982,35097,0,100927,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,630793.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061780,10,70217,36682,114123,100937,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,630856.250,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
