unix_ms,kind,node_id,src,label,rssi,marker_index
1782645261435,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645261435,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645261435,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-85,
1782645261435,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645261456,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645261465,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645261476,sample,1,e8:3d:c1:85:d4:18,outside-3m,-83,
1782645261487,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645261498,sample,1,e8:3d:c1:85:d4:18,outside-3m,-83,
1782645261507,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645261931,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645261940,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645261949,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-81,
1782645261957,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645261965,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-86,
1782645262016,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645262031,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645262039,sample,1,e8:3d:c1:85:d4:18,outside-3m,-83,
1782645262049,sample,1,e8:3d:c1:85:d4:18,outside-3m,-85,
1782645262057,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645262477,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-85,
1782645262488,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-85,
1782645262499,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-86,
1782645262510,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-85,
1782645262519,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645262527,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645262572,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645262581,sample,1,e8:3d:c1:85:d4:18,outside-3m,-85,
1782645262591,sample,1,e8:3d:c1:85:d4:18,outside-3m,-85,
1782645262599,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645262614,sample,1,e8:3d:c1:85:d4:18,outside-3m,-83,
1782645262622,sample,1,e8:3d:c1:85:d4:18,outside-3m,-83,
1782645263041,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645263051,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-85,
1782645263059,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645263067,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645263075,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-82,
1782645263196,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645263212,sample,1,e8:3d:c1:85:d4:18,outside-3m,-83,
1782645263225,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645263239,sample,1,e8:3d:c1:85:d4:18,outside-3m,-81,
1782645263247,sample,1,e8:3d:c1:85:d4:18,outside-3m,-81,
1782645263263,sample,1,e8:3d:c1:85:d4:18,outside-3m,-81,
1782645263585,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-82,
1782645263600,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645263608,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645263626,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645263637,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-82,
1782645263648,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-82,
1782645263772,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645263784,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645263792,sample,1,e8:3d:c1:85:d4:18,outside-3m,-81,
1782645263803,sample,1,e8:3d:c1:85:d4:18,outside-3m,-80,
1782645263812,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645264160,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645264168,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-83,
1782645264185,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645264193,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-84,
1782645264210,sample,0,e8:3d:c1:85:e6:b4,outside-3m,-85,
1782645264323,sample,1,e8:3d:c1:85:d4:18,outside-3m,-82,
1782645264332,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
1782645264340,sample,1,e8:3d:c1:85:d4:18,outside-3m,-84,
