unix_ms,kind,node_id,src,label,rssi,marker_index
1782647837313,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647837321,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647837328,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647837838,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-92,
1782647837846,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647837887,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647837898,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647837907,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647838418,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647838431,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-93,
1782647838443,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647838452,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647838461,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647838971,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647838979,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647838988,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-97,
1782647838997,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647839513,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-93,
1782647839522,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647840032,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647840544,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-97,
1782647842058,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647842569,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-97,
1782647843085,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-93,
1782647843105,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647843114,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647843122,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-95,
1782647843134,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647845649,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647845683,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647853210,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-94,
1782647853720,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
1782647853727,sample,0,e8:3d:c1:85:e6:b4,outside-8m,-96,
