unix_ms,node_id,broadcast_hello_cycles,broadcast_topo_cycles,process_packet_hello_cycles,process_packet_topo_cycles,calc_state_mds_total_cycles,calc_state_kabsch_cycles,calc_state_mds_iter_cycles,calc_state_routing_update_cycles,calc_state_build_neighbors_cycles,update_screen_mds_cycles,update_screen_table_cycles,broadcast_hello_ns,broadcast_topo_ns,process_packet_hello_ns,process_packet_topo_ns,calc_state_mds_total_ns,calc_state_kabsch_ns,calc_state_mds_iter_ns,calc_state_routing_update_ns,calc_state_build_neighbors_ns,update_screen_mds_ns,update_screen_table_ns
1782667779462,1,20419,0,0,0,184454,60705,100082,128044,38633,0,0,127618.750,0.000,0.000,0.000,1152837.500,379406.250,625512.500,800275.000,241456.250,0.000,0.000
1782667779537,1,20419,0,0,0,184454,60705,100082,128044,38633,0,0,127618.750,0.000,0.000,0.000,1152837.500,379406.250,625512.500,800275.000,241456.250,0.000,0.000
1782667779587,1,20419,0,0,0,185718,60705,100082,127994,38633,0,0,127618.750,0.000,0.000,0.000,1160737.500,379406.250,625512.500,799962.500,241456.250,0.000,0.000
1782667779600,1,20419,0,0,0,185718,60705,100082,127994,38633,0,0,127618.750,0.000,0.000,0.000,1160737.500,379406.250,625512.500,799962.500,241456.250,0.000,0.000
1782667779632,1,20419,0,0,0,184454,60705,100082,130520,39339,0,0,127618.750,0.000,0.000,0.000,1152837.500,379406.250,625512.500,815750.000,245868.750,0.000,0.000
1782667779640,1,20419,0,0,0,184454,60705,100082,130520,39339,0,0,127618.750,0.000,0.000,0.000,1152837.500,379406.250,625512.500,815750.000,245868.750,0.000,0.000
1782667779743,1,20419,0,0,0,184458,60705,100082,131341,38633,0,0,127618.750,0.000,0.000,0.000,1152862.500,379406.250,625512.500,820881.250,241456.250,0.000,0.000
1782667779752,1,20419,0,0,0,184458,60705,100082,131341,38633,0,0,127618.750,0.000,0.000,0.000,1152862.500,379406.250,625512.500,820881.250,241456.250,0.000,0.000
1782667779795,1,20419,0,0,0,175560,57617,98182,127370,37052,0,0,127618.750,0.000,0.000,0.000,1097250.000,360106.250,613637.500,796062.500,231575.000,0.000,0.000
1782667779809,1,20419,0,0,0,175560,57617,98182,127370,37052,0,0,127618.750,0.000,0.000,0.000,1097250.000,360106.250,613637.500,796062.500,231575.000,0.000,0.000
1782667779832,1,20419,0,0,0,343866,60705,259490,125562,38633,0,0,127618.750,0.000,0.000,0.000,2149162.500,379406.250,1621812.500,784762.500,241456.250,0.000,0.000
1782667779867,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1782667779873,1,20419,0,0,0,343866,60705,259490,125562,38633,0,0,127618.750,0.000,0.000,0.000,2149162.500,379406.250,1621812.500,784762.500,241456.250,0.000,0.000
1782667779898,1,20419,0,0,0,183842,60705,100082,133241,38633,0,0,127618.750,0.000,0.000,0.000,1149012.500,379406.250,625512.500,832756.250,241456.250,0.000,0.000
