unix_ms,node_id,broadcast_clone_dist_cycles,process_packet_cycles,calculate_state_cycles,broadcast_clone_dist_ns,process_packet_ns,calculate_state_ns
1782569589003,0,0,99218,10626934,0.000,620112.500,66418337.500
1782569589041,0,0,99218,10232828,0.000,620112.500,63955175.000
1782569589068,0,0,99218,10232828,0.000,620112.500,63955175.000
1782569589079,0,0,99218,10232828,0.000,620112.500,63955175.000
1782569589120,0,0,99218,10653186,0.000,620112.500,66582412.500
1782569589139,0,0,99218,10653186,0.000,620112.500,66582412.500
1782569589155,0,0,99218,10653186,0.000,620112.500,66582412.500
1782569589179,0,0,99218,10653186,0.000,620112.500,66582412.500
1782569590093,0,0,99218,10529622,0.000,620112.500,65810137.500
1782569590114,0,0,99218,10529622,0.000,620112.500,65810137.500
1782569590157,0,0,99218,6410516,0.000,620112.500,40065725.000
1782569590171,0,0,99218,6410516,0.000,620112.500,40065725.000
1782569590189,0,0,99218,6410516,0.000,620112.500,40065725.000
1782569590224,0,0,99218,6530166,0.000,620112.500,40813537.500
1782569590239,0,0,99218,6530166,0.000,620112.500,40813537.500
1782569590257,0,0,99218,6530166,0.000,620112.500,40813537.500
1782569590299,0,0,5099,8685818,0.000,31868.750,54286362.500
1782569590317,0,0,89174,8685818,0.000,557337.500,54286362.500
1782569590342,0,0,99216,8685818,0.000,620100.000,54286362.500
1782569590378,0,0,99216,24265952,0.000,620100.000,151662200.000
1782569590416,0,0,99216,24265952,0.000,620100.000,151662200.000
1782569590437,0,0,99216,24265952,0.000,620100.000,151662200.000
1782569590478,0,0,99216,6522182,0.000,620100.000,40763637.500
1782569590499,0,0,99216,6522182,0.000,620100.000,40763637.500
1782569590520,0,0,99216,6522182,0.000,620100.000,40763637.500
1782569590547,0,0,99216,11236202,0.000,620100.000,70226262.500
1782569590562,0,0,99216,11236202,0.000,620100.000,70226262.500
1782569590576,0,0,99216,11236202,0.000,620100.000,70226262.500
1782569590596,0,0,99216,11236202,0.000,620100.000,70226262.500
1782569590634,0,0,99216,10523312,0.000,620100.000,65770700.000
1782569590660,0,0,99216,10523312,0.000,620100.000,65770700.000
1782569590681,0,0,99216,10523312,0.000,620100.000,65770700.000
1782569590724,0,0,99216,11806016,0.000,620100.000,73787600.000
1782569590742,0,0,99216,11806016,0.000,620100.000,73787600.000
1782569590759,0,0,99216,11806016,0.000,620100.000,73787600.000
1782569590806,0,0,99216,9823460,0.000,620100.000,61396625.000
1782569590824,0,0,99216,9823460,0.000,620100.000,61396625.000
1782569590844,0,0,99216,9823460,0.000,620100.000,61396625.000
1782569590866,0,0,99216,9823460,0.000,620100.000,61396625.000
1782569590919,0,0,99216,11270770,0.000,620100.000,70442312.500
1782569591505,0,0,99216,11270770,0.000,620100.000,70442312.500
1782569591543,0,0,99216,6317862,0.000,620100.000,39486637.500
1782569591559,0,0,99216,6317862,0.000,620100.000,39486637.500
1782569591581,0,0,99216,6317862,0.000,620100.000,39486637.500
1782569591611,0,0,99216,6552240,0.000,620100.000,40951500.000
1782569591623,0,0,99216,6552240,0.000,620100.000,40951500.000
1782569591637,0,0,99216,6552240,0.000,620100.000,40951500.000
1782569591665,0,0,99216,6382034,0.000,620100.000,39887712.500
1782569591683,0,0,99216,6382034,0.000,620100.000,39887712.500
1782569591700,0,0,99216,6382034,0.000,620100.000,39887712.500
1782569591733,0,0,99216,6541170,0.000,620100.000,40882312.500
1782569591764,0,0,99216,6541170,0.000,620100.000,40882312.500
1782569591779,0,0,99216,6541170,0.000,620100.000,40882312.500
1782569591812,0,0,99216,11527512,0.000,620100.000,72046950.000
1782569591837,0,0,99216,11527512,0.000,620100.000,72046950.000
1782569591851,0,0,99216,11527512,0.000,620100.000,72046950.000
1782569591883,0,0,99216,10453458,0.000,620100.000,65334112.500
1782569591915,0,0,99216,10453458,0.000,620100.000,65334112.500
1782569591935,0,0,99216,10453458,0.000,620100.000,65334112.500
1782569592659,0,0,99216,10427988,0.000,620100.000,65174925.000
1782569592673,0,0,99216,10427988,0.000,620100.000,65174925.000
1782569592690,0,0,99216,10427988,0.000,620100.000,65174925.000
1782569592733,0,0,99216,6382048,0.000,620100.000,39887800.000
1782569592756,0,0,99216,6382048,0.000,620100.000,39887800.000
1782569592775,0,0,99216,6382048,0.000,620100.000,39887800.000
1782569592810,0,0,99216,6381914,0.000,620100.000,39886962.500
1782569592832,0,0,99216,6381914,0.000,620100.000,39886962.500
1782569592852,0,0,99216,6381914,0.000,620100.000,39886962.500
1782569592878,0,0,99216,6530358,0.000,620100.000,40814737.500
1782569592893,0,0,99216,6530358,0.000,620100.000,40814737.500
1782569592909,0,0,2707,6530358,0.000,16918.750,40814737.500
1782569592955,0,0,2707,9002964,0.000,16918.750,56268525.000
1782569592975,0,0,2707,9002964,0.000,16918.750,56268525.000
1782569592987,0,0,2707,9002964,0.000,16918.750,56268525.000
1782569593035,0,0,2707,10387030,0.000,16918.750,64918937.500
1782569593050,0,0,2707,10387030,0.000,16918.750,64918937.500
1782569593065,0,0,2707,10387030,0.000,16918.750,64918937.500
1782569593121,0,0,2707,9802266,0.000,16918.750,61264162.500
1782569593137,0,0,2707,9802266,0.000,16918.750,61264162.500
1782569593156,0,0,2707,9802266,0.000,16918.750,61264162.500
1782569593184,0,0,2707,9234260,0.000,16918.750,57714125.000
1782569593197,0,0,2707,9234260,0.000,16918.750,57714125.000
1782569593758,0,0,2707,9234260,0.000,16918.750,57714125.000
1782569593791,0,0,65470,6687134,0.000,409187.500,41794587.500
1782569593804,0,0,91726,6687134,0.000,573287.500,41794587.500
1782569593828,0,0,91726,6687134,0.000,573287.500,41794587.500
1782569593861,0,0,91726,6401724,0.000,573287.500,40010775.000
1782569593879,0,0,91726,6401724,0.000,573287.500,40010775.000
1782569593896,0,0,91726,6401724,0.000,573287.500,40010775.000
1782569593929,0,0,91726,6380426,0.000,573287.500,39877662.500
1782569593946,0,0,91726,6380426,0.000,573287.500,39877662.500
1782569593963,0,0,2709,6380426,0.000,16931.250,39877662.500
1782569593996,0,0,2709,7864900,0.000,16931.250,49155625.000
1782569594024,0,0,100426,7864900,0.000,627662.500,49155625.000
1782569594044,0,0,100426,7864900,0.000,627662.500,49155625.000
1782569594085,0,0,100426,11977944,0.000,627662.500,74862150.000
1782569594101,0,0,100426,11977944,0.000,627662.500,74862150.000
1782569594112,0,0,100426,11977944,0.000,627662.500,74862150.000
1782569594145,0,0,100426,10605668,0.000,627662.500,66285425.000
1782569594162,0,0,100426,10605668,0.000,627662.500,66285425.000
1782569594190,0,0,100426,10605668,0.000,627662.500,66285425.000
1782569594923,0,0,100426,9823630,0.000,627662.500,61397687.500
1782569594949,0,0,100426,9823630,0.000,627662.500,61397687.500
1782569594965,0,0,100426,9823630,0.000,627662.500,61397687.500
1782569595022,0,0,100426,6379578,0.000,627662.500,39872362.500
1782569595039,0,0,100426,6379578,0.000,627662.500,39872362.500
1782569595057,0,0,100426,6379578,0.000,627662.500,39872362.500
1782569595093,0,0,100426,6524304,0.000,627662.500,40776900.000
1782569595115,0,0,100426,6524304,0.000,627662.500,40776900.000
1782569595149,0,0,3985,6524304,0.000,24906.250,40776900.000
1782569595190,0,0,2707,8408242,0.000,16918.750,52551512.500
1782569595212,0,0,97890,8408242,0.000,611812.500,52551512.500
1782569595248,0,0,97890,6535852,0.000,611812.500,40849075.000
1782569595263,0,0,97890,6535852,0.000,611812.500,40849075.000
1782569595280,0,0,97890,6535852,0.000,611812.500,40849075.000
1782569595325,0,0,97890,9524654,0.000,611812.500,59529087.500
1782569595340,0,0,97890,9524654,0.000,611812.500,59529087.500
1782569595359,0,0,97890,9524654,0.000,611812.500,59529087.500
1782569595375,0,0,97890,9524654,0.000,611812.500,59529087.500
1782569595413,0,0,97890,9847282,0.000,611812.500,61545512.500
1782569595426,0,0,97890,9847282,0.000,611812.500,61545512.500
1782569595442,0,0,97890,9847282,0.000,611812.500,61545512.500
1782569595472,0,0,97890,11355504,0.000,611812.500,70971900.000
1782569595490,0,0,97890,11355504,0.000,611812.500,70971900.000
1782569596138,0,0,97890,11355504,0.000,611812.500,70971900.000
1782569596171,0,0,97890,8124082,0.000,611812.500,50775512.500
1782569596189,0,0,97890,8124082,0.000,611812.500,50775512.500
1782569596209,0,0,97890,8124082,0.000,611812.500,50775512.500
1782569596240,0,0,97890,6381836,0.000,611812.500,39886475.000
1782569596269,0,0,97890,6381836,0.000,611812.500,39886475.000
1782569596292,0,0,97890,6381836,0.000,611812.500,39886475.000
1782569596337,0,0,97890,6501750,0.000,611812.500,40635937.500
1782569596357,0,0,97890,6501750,0.000,611812.500,40635937.500
1782569596391,0,0,97890,6413944,0.000,611812.500,40087150.000
1782569596408,0,0,97890,6413944,0.000,611812.500,40087150.000
1782569596432,0,0,97890,6413944,0.000,611812.500,40087150.000
1782569596471,0,0,97890,9290568,0.000,611812.500,58066050.000
1782569596502,0,0,97890,9290568,0.000,611812.500,58066050.000
1782569596519,0,0,97890,9290568,0.000,611812.500,58066050.000
1782569596546,0,0,97890,10878520,0.000,611812.500,67990750.000
1782569596564,0,0,97890,10878520,0.000,611812.500,67990750.000
1782569596580,0,0,97890,10878520,0.000,611812.500,67990750.000
1782569596623,0,0,97890,9112326,0.000,611812.500,56952037.500
1782569596641,0,0,97890,9112326,0.000,611812.500,56952037.500
1782569596660,0,0,97890,9112326,0.000,611812.500,56952037.500
1782569597280,0,0,97890,10481044,0.000,611812.500,65506525.000
1782569597296,0,0,97890,10481044,0.000,611812.500,65506525.000
1782569597313,0,0,97890,10481044,0.000,611812.500,65506525.000
1782569597355,0,0,97890,6463706,0.000,611812.500,40398162.500
1782569597377,0,0,97890,6463706,0.000,611812.500,40398162.500
1782569597397,0,0,97890,6463706,0.000,611812.500,40398162.500
1782569597437,0,0,97890,6803560,0.000,611812.500,42522250.000
1782569597456,0,0,97890,6803560,0.000,611812.500,42522250.000
1782569597477,0,0,97890,6803560,0.000,611812.500,42522250.000
1782569597520,0,0,97890,6379854,0.000,611812.500,39874087.500
1782569597538,0,0,97890,6379854,0.000,611812.500,39874087.500
1782569597558,0,0,97890,6379854,0.000,611812.500,39874087.500
1782569597591,0,0,97890,6502550,0.000,611812.500,40640937.500
1782569597604,0,0,97890,6502550,0.000,611812.500,40640937.500
1782569597622,0,0,97890,6502550,0.000,611812.500,40640937.500
1782569597670,0,0,97890,10465204,0.000,611812.500,65407525.000
1782569597686,0,0,97890,10465204,0.000,611812.500,65407525.000
1782569597702,0,0,74856,10465204,0.000,467850.000,65407525.000
1782569597748,0,0,74856,11859154,0.000,467850.000,74119712.500
1782569597775,0,0,74856,11859154,0.000,467850.000,74119712.500
1782569597791,0,0,74856,11859154,0.000,467850.000,74119712.500
1782569597803,0,0,74856,11859154,0.000,467850.000,74119712.500
1782569597834,0,0,74856,9970108,0.000,467850.000,62313175.000
1782569598591,0,0,74856,9970108,0.000,467850.000,62313175.000
1782569598647,0,0,74856,6317304,0.000,467850.000,39483150.000
1782569598663,0,0,74856,6317304,0.000,467850.000,39483150.000
1782569598687,0,0,74856,6317304,0.000,467850.000,39483150.000
1782569598719,0,0,74856,6382580,0.000,467850.000,39891125.000
1782569598733,0,0,74856,6382580,0.000,467850.000,39891125.000
1782569598749,0,0,74856,6382580,0.000,467850.000,39891125.000
1782569598783,0,0,74856,6718162,0.000,467850.000,41988512.500
1782569598803,0,0,74856,6718162,0.000,467850.000,41988512.500
1782569598819,0,0,8462,6718162,0.000,52887.500,41988512.500
1782569598844,0,0,8462,6402358,0.000,52887.500,40014737.500
1782569598858,0,0,97930,6402358,0.000,612062.500,40014737.500
1782569598893,0,0,97930,6442960,0.000,612062.500,40268500.000
1782569598905,0,0,97930,6442960,0.000,612062.500,40268500.000
1782569598928,0,0,97930,6442960,0.000,612062.500,40268500.000
1782569598964,0,0,97930,8357998,0.000,612062.500,52237487.500
1782569598983,0,0,101718,8357998,0.000,635737.500,52237487.500
1782569598997,0,0,101718,8357998,0.000,635737.500,52237487.500
1782569599019,0,0,100414,8357998,0.000,627587.500,52237487.500
1782569599058,0,0,100414,12284034,0.000,627587.500,76775212.500
1782569599075,0,0,100414,12284034,0.000,627587.500,76775212.500
1782569599098,0,0,100414,12284034,0.000,627587.500,76775212.500
1782569599141,0,0,100414,11387476,0.000,627587.500,71171725.000
1782569599159,0,0,100414,11387476,0.000,627587.500,71171725.000
1782569599176,0,0,100414,11387476,0.000,627587.500,71171725.000
1782569599188,0,0,100414,11387476,0.000,627587.500,71171725.000
1782569599228,0,0,100414,10962244,0.000,627587.500,68514025.000
1782569599921,0,0,100414,10962244,0.000,627587.500,68514025.000
1782569599940,0,0,100414,10962244,0.000,627587.500,68514025.000
1782569599974,0,0,100414,6779906,0.000,627587.500,42374412.500
1782569599988,0,0,100414,6779906,0.000,627587.500,42374412.500
1782569600035,0,0,100414,6398494,0.000,627587.500,39990587.500
1782569600057,0,0,100414,6398494,0.000,627587.500,39990587.500
1782569600071,0,0,100414,6398494,0.000,627587.500,39990587.500
1782569600084,0,0,13373,6398494,0.000,83581.250,39990587.500
1782569600110,0,0,60461,9463418,0.000,377881.250,59146362.500
1782569600126,0,0,60461,9463418,0.000,377881.250,59146362.500
1782569600146,0,0,60461,9463418,0.000,377881.250,59146362.500
1782569600204,0,0,60461,27337394,0.000,377881.250,170858712.500
1782569600232,0,0,60461,27337394,0.000,377881.250,170858712.500
1782569600249,0,0,60461,27337394,0.000,377881.250,170858712.500
1782569600286,0,0,60461,10433998,0.000,377881.250,65212487.500
1782569600310,0,0,60461,10433998,0.000,377881.250,65212487.500
1782569600328,0,0,60461,10433998,0.000,377881.250,65212487.500
1782569600361,0,0,60461,9760722,0.000,377881.250,61004512.500
1782569600379,0,0,60461,9760722,0.000,377881.250,61004512.500
1782569600400,0,0,60461,9760722,0.000,377881.250,61004512.500
1782569600425,0,0,60461,9760722,0.000,377881.250,61004512.500
1782569600467,0,0,60461,12685754,0.000,377881.250,79285962.500
1782569601033,0,0,60461,12685754,0.000,377881.250,79285962.500
1782569601070,0,0,60461,12685754,0.000,377881.250,79285962.500
1782569601106,0,0,60461,6542494,0.000,377881.250,40890587.500
1782569601144,0,0,60461,6542494,0.000,377881.250,40890587.500
1782569601187,0,0,60461,6389082,0.000,377881.250,39931762.500
1782569601203,0,0,60461,6389082,0.000,377881.250,39931762.500
1782569601217,0,0,60461,6389082,0.000,377881.250,39931762.500
1782569601265,0,0,60461,6389672,0.000,377881.250,39935450.000
1782569601282,0,0,60461,6389672,0.000,377881.250,39935450.000
1782569601302,0,0,60461,6389672,0.000,377881.250,39935450.000
1782569601378,0,0,60461,6617056,0.000,377881.250,41356600.000
1782569601399,0,0,60461,6617056,0.000,377881.250,41356600.000
1782569601440,0,0,60461,10770824,0.000,377881.250,67317650.000
1782569601458,0,0,60461,10770824,0.000,377881.250,67317650.000
1782569601489,0,0,60461,10770824,0.000,377881.250,67317650.000
1782569601503,0,0,60461,10770824,0.000,377881.250,67317650.000
1782569601543,0,0,60461,10623396,0.000,377881.250,66396225.000
1782569601563,0,0,60461,10623396,0.000,377881.250,66396225.000
1782569601578,0,0,60461,10623396,0.000,377881.250,66396225.000
1782569601609,0,0,60461,10581752,0.000,377881.250,66135950.000
1782569601634,0,0,60461,10581752,0.000,377881.250,66135950.000
1782569601658,0,0,60461,10581752,0.000,377881.250,66135950.000
1782569601687,0,0,60461,10754544,0.000,377881.250,67215900.000
1782569602378,0,0,60461,10754544,0.000,377881.250,67215900.000
1782569602394,0,0,60461,10754544,0.000,377881.250,67215900.000
1782569602426,0,0,60461,6519382,0.000,377881.250,40746137.500
1782569602444,0,0,60461,6519382,0.000,377881.250,40746137.500
1782569602481,0,0,60461,6519382,0.000,377881.250,40746137.500
1782569602524,0,0,60461,6390382,0.000,377881.250,39939887.500
1782569602540,0,0,60461,6390382,0.000,377881.250,39939887.500
1782569602565,0,0,60461,6390382,0.000,377881.250,39939887.500
1782569602602,0,0,60461,6576664,0.000,377881.250,41104150.000
1782569602623,0,0,60461,6576664,0.000,377881.250,41104150.000
1782569602643,0,0,60461,6576664,0.000,377881.250,41104150.000
1782569602678,0,0,60461,23580712,0.000,377881.250,147379450.000
1782569602693,0,0,60461,23580712,0.000,377881.250,147379450.000
1782569602711,0,0,60461,23580712,0.000,377881.250,147379450.000
1782569602742,0,0,60461,9452250,0.000,377881.250,59076562.500
1782569602758,0,0,60461,9452250,0.000,377881.250,59076562.500
1782569602776,0,0,2959,9452250,0.000,18493.750,59076562.500
1782569602819,0,0,2959,12060490,0.000,18493.750,75378062.500
1782569602850,0,0,2959,12060490,0.000,18493.750,75378062.500
1782569602864,0,0,2959,12060490,0.000,18493.750,75378062.500
1782569602883,0,0,2959,12060490,0.000,18493.750,75378062.500
1782569602918,0,0,2959,10106530,0.000,18493.750,63165812.500
1782569602937,0,0,2959,10106530,0.000,18493.750,63165812.500
1782569603503,0,0,2959,10106530,0.000,18493.750,63165812.500
1782569603545,0,0,2959,7380404,0.000,18493.750,46127525.000
1782569603565,0,0,2959,7380404,0.000,18493.750,46127525.000
1782569603612,0,0,2959,6393594,0.000,18493.750,39959962.500
1782569603629,0,0,2959,6393594,0.000,18493.750,39959962.500
1782569603644,0,0,2959,6393594,0.000,18493.750,39959962.500
1782569603684,0,0,155404,6362598,0.000,971275.000,39766237.500
1782569603712,0,0,8495,6362598,0.000,53093.750,39766237.500
1782569603729,0,0,8495,6362598,0.000,53093.750,39766237.500
1782569603782,0,0,8495,6549674,0.000,53093.750,40935462.500
