unix_ms,frame,node_idx,x,y
1782683213239,0,0,0.000000,0.000000
1782683213239,0,1,7.298187,-3.989563
1782683213250,1,0,0.000000,0.000000
1782683213250,1,1,7.298096,-3.990204
1782683213854,2,0,0.000000,0.000000
1782683213854,2,1,7.297974,-3.989868
1782683213873,3,0,0.000000,0.000000
1782683213873,3,1,7.297974,-3.990540
1782683214389,4,0,0.000000,0.000000
1782683214389,4,1,7.297852,-3.990204
1782683214512,5,0,0.000000,0.000000
1782683214512,5,1,7.297760,-3.990845
1782683215030,6,0,0.000000,0.000000
1782683215030,6,1,7.297638,-3.990509
1782683215546,7,0,0.000000,0.000000
1782683215546,7,1,7.297546,-3.991150
1782683215563,8,0,0.000000,0.000000
1782683215563,8,1,7.297424,-3.990814
1782683216079,9,0,0.000000,0.000000
1782683216079,9,1,7.297455,-3.991516
1782683216091,10,0,0.000000,0.000000
1782683216091,10,1,7.297333,-3.991180
1782683216611,11,0,0.000000,0.000000
1782683216611,11,1,6.976196,-3.816193
1782683216622,12,0,0.000000,0.000000
1782683216622,12,1,7.296936,-3.992340
1782683217140,13,0,0.000000,0.000000
1782683217140,13,1,6.975800,-3.816406
