unix_ms,frame,node_idx,x,y
1782749550611,0,0,-0.895081,-13.220566
1782749550611,0,1,-8.565704,8.453842
1782749550611,0,2,0.000000,0.000000
1782749551130,1,0,1.752625,-13.309753
1782749551130,1,1,-6.523727,10.319321
1782749551130,1,2,0.000000,0.000000
1782749551736,2,0,-0.477295,-13.830353
1782749551736,2,1,-8.572723,9.105560
1782749551736,2,2,0.000000,0.000000
1782749551752,3,0,-5.317108,-14.999237
1782749551752,3,1,-12.607956,5.650848
1782749551752,3,2,0.000000,0.000000
1782749552271,4,0,-2.310822,-15.111557
1782749552271,4,1,-10.798111,8.633759
1782749552271,4,2,0.000000,0.000000
1782749552878,5,0,-4.013031,-13.948059
1782749552878,5,1,-12.539658,8.501373
1782749552878,5,2,0.000000,0.000000
1782749553601,6,0,-2.812088,-14.889969
1782749553601,6,1,-11.469238,8.799408
1782749553601,6,2,0.000000,0.000000
1782749553613,7,0,-5.162903,-15.055328
1782749553613,7,1,-12.927475,6.601364
1782749553613,7,2,0.000000,0.000000
1782749554229,8,0,-3.189621,-14.161758
1782749554229,8,1,-11.682678,8.512985
1782749554229,8,2,0.000000,0.000000
1782749554745,9,0,-2.244431,-14.344315
1782749554745,9,1,-11.090759,9.274323
1782749554745,9,2,0.000000,0.000000
1782749554759,10,0,-2.858932,-15.008591
1782749554759,10,1,-11.564392,8.668350
1782749554759,10,2,0.000000,0.000000
1782749555279,11,0,-0.370667,-13.269608
1782749555279,11,1,-9.287537,10.280975
1782749555279,11,2,0.000000,0.000000
1782749555893,12,0,-0.002899,-12.613464
1782749555893,12,1,-8.580246,10.022385
1782749555893,12,2,0.000000,0.000000
1782749556418,13,0,1.351883,-12.631424
1782749556418,13,1,-8.181961,12.038254
1782749556418,13,2,0.000000,0.000000
1782749556427,14,0,-1.758133,-13.059723
1782749556427,14,1,-10.762970,10.576294
1782749556427,14,2,0.000000,0.000000
1782749556969,15,0,-2.594177,-13.688126
1782749556969,15,1,-11.425751,9.944962
1782749556969,15,2,0.000000,0.000000
1782749557584,16,0,-2.728500,-14.255646
1782749557584,16,1,-10.844666,8.562149
1782749557584,16,2,0.000000,0.000000
1782749557600,17,0,-0.851196,-13.933365
1782749557600,17,1,-9.486862,10.079681
1782749557600,17,2,0.000000,0.000000
1782749558197,18,0,-3.526031,-14.075180
1782749558197,18,1,-11.667816,8.522354
1782749558197,18,2,0.000000,0.000000
1782749558812,19,0,-2.560867,-12.991714
1782749558812,19,1,-10.985474,9.493271
1782749558812,19,2,0.000000,0.000000
1782749558828,20,0,-2.281006,-13.749542
1782749558828,20,1,-11.228439,10.175644
1782749558828,20,2,0.000000,0.000000
1782749559426,21,0,-3.557388,-13.471741
1782749559426,21,1,-12.019424,9.221344
1782749559426,21,2,0.000000,0.000000
1782749560051,22,0,-4.069000,-12.596512
1782749560051,22,1,-12.260086,8.900925
1782749560051,22,2,0.000000,0.000000
1782749560656,23,0,-1.609467,-13.152557
1782749560656,23,1,-10.008591,9.545425
1782749560656,23,2,0.000000,0.000000
1782749560677,24,0,0.309921,-13.288879
1782749560677,24,1,-8.354553,10.338943
1782749560677,24,2,0.000000,0.000000
1782749561292,25,0,-0.762650,-13.191238
1782749561292,25,1,-9.110153,9.570633
1782749561292,25,2,0.000000,0.000000
1782749561815,26,0,-2.307892,-13.026550
1782749561815,26,1,-10.830338,9.650970
1782749561815,26,2,0.000000,0.000000
1782749561828,27,0,-0.375702,-13.959091
1782749561828,27,1,-8.927505,9.737946
1782749561828,27,2,0.000000,0.000000
1782749562344,28,0,-3.861588,-14.647049
1782749562344,28,1,-11.737900,7.284271
1782749562344,28,2,0.000000,0.000000
1782749562974,29,0,-3.415634,-14.109100
1782749562974,29,1,-11.429398,7.768265
1782749562974,29,2,0.000000,0.000000
1782749562985,30,0,-3.655228,-14.047394
1782749562985,30,1,-11.570587,7.553528
1782749562985,30,2,0.000000,0.000000
1782749563498,31,0,-1.502579,-13.165222
1782749563498,31,1,-10.085144,9.464905
1782749563498,31,2,0.000000,0.000000
1782749564035,32,0,-2.085953,-13.775238
1782749564035,32,1,-10.550873,8.917999
1782749564035,32,2,0.000000,0.000000
1782749564649,33,0,-2.575989,-14.283905
1782749564649,33,1,-10.933823,8.447647
1782749564649,33,2,0.000000,0.000000
1782749564664,34,0,-1.594193,-14.434540
1782749564664,34,1,-10.283951,9.239548
1782749564664,34,2,0.000000,0.000000
1782749565263,35,0,-1.620819,-15.193604
1782749565263,35,1,-10.089508,8.570007
1782749565263,35,2,0.000000,0.000000
1782749565861,36,0,-1.314407,-14.458176
1782749565861,36,1,-9.438400,8.354248
1782749565861,36,2,0.000000,0.000000
1782749566389,37,0,-3.290756,-14.918091
1782749566389,37,1,-11.503815,7.649597
1782749566389,37,2,0.000000,0.000000
1782749566414,38,0,-1.504623,-14.630508
1782749566414,38,1,-9.591156,8.186340
1782749566414,38,2,0.000000,0.000000
1782749567003,39,0,-3.969879,-13.960098
1782749567003,39,1,-12.220490,7.829681
1782749567003,39,2,0.000000,0.000000
1782749567613,40,0,-2.354294,-13.030685
1782749567613,40,1,-10.738235,8.702255
1782749567613,40,2,0.000000,0.000000
1782749567627,41,0,-3.010803,-14.847092
1782749567627,41,1,-11.340302,7.892120
1782749567627,41,2,0.000000,0.000000
1782749568149,42,0,-0.703873,-13.187424
1782749568149,42,1,-9.223969,9.451019
