unix_ms,frame,node_idx,x,y
1782673916679,0,0,0.000000,0.000000
1782673916679,0,1,-0.010880,-0.055374
1782673916716,1,0,0.000000,0.000000
1782673916716,1,1,-0.010880,-0.055374
1782673916767,2,0,0.000000,0.000000
1782673916767,2,1,-0.010880,-0.055374
1782673916848,3,0,0.000000,0.000000
1782673916848,3,1,-0.010880,-0.055374
1782673917419,4,0,0.000000,0.000000
1782673917419,4,1,-0.010880,-0.055374
1782673917462,5,0,0.000000,0.000000
1782673917462,5,1,-0.010880,-0.055374
1782673917526,6,0,0.000000,0.000000
1782673917526,6,1,-0.010880,-0.055374
1782673917583,7,0,0.000000,0.000000
1782673917583,7,1,-0.010880,-0.055374
1782673917648,8,0,0.000000,0.000000
1782673917648,8,1,-0.010880,-0.055374
1782673917701,9,0,0.000000,0.000000
1782673917701,9,1,-0.010880,-0.055374
1782673917751,10,0,0.000000,0.000000
1782673917751,10,1,-0.010880,-0.055374
1782673917790,11,0,0.000000,0.000000
1782673917790,11,1,-0.010880,-0.055374
1782673917841,12,0,0.000000,0.000000
1782673917841,12,1,-0.010880,-0.055374
1782673917886,13,0,0.000000,0.000000
1782673917886,13,1,-0.010880,-0.055374
1782673918460,14,0,0.000000,0.000000
1782673918460,14,1,-0.010880,-0.055374
1782673918583,15,0,0.000000,0.000000
1782673918583,15,1,-0.010880,-0.055374
1782673918642,16,0,0.000000,0.000000
1782673918642,16,1,-0.010880,-0.055374
1782673918683,17,0,0.000000,0.000000
1782673918683,17,1,-0.010880,-0.055374
1782673918732,18,0,0.000000,0.000000
1782673918732,18,1,-0.010880,-0.055374
1782673918772,19,0,0.000000,0.000000
1782673918772,19,1,-0.010880,-0.055374
1782673918816,20,0,0.000000,0.000000
1782673918816,20,1,-0.010880,-0.055374
1782673918872,21,0,0.000000,0.000000
1782673918872,21,1,-0.010880,-0.055374
1782673918926,22,0,0.000000,0.000000
1782673918926,22,1,-0.010880,-0.055374
1782673918970,23,0,0.000000,0.000000
1782673918970,23,1,-0.010880,-0.055374
1782673919520,24,0,0.000000,0.000000
1782673919520,24,1,-0.010880,-0.055374
1782673919560,25,0,0.000000,0.000000
1782673919560,25,1,-0.010880,-0.055374
1782673919612,26,0,0.000000,0.000000
1782673919612,26,1,-0.010880,-0.055374
1782673919662,27,0,0.000000,0.000000
1782673919662,27,1,-0.010880,-0.055374
1782673919717,28,0,0.000000,0.000000
1782673919717,28,1,-0.010880,-0.055374
1782673919770,29,0,0.000000,0.000000
1782673919770,29,1,-0.010880,-0.055374
1782673919816,30,0,0.000000,0.000000
1782673919816,30,1,-0.010880,-0.055374
