unix_ms,frame,node_idx,x,y
1782679256422,0,0,0.000000,0.000000
1782679256422,0,1,2.407745,0.715576
1782679257008,1,0,0.000000,0.000000
1782679257008,1,1,2.523865,0.750153
1782679257614,2,0,0.000000,0.000000
1782679257614,2,1,2.907166,0.863831
1782679257633,3,0,0.000000,0.000000
1782679257633,3,1,2.651276,0.787872
1782679258329,4,0,0.000000,0.000000
1782679258329,4,1,2.523895,0.750092
1782679258342,5,0,0.000000,0.000000
1782679258342,5,1,2.523865,0.750153
1782679258864,6,0,0.000000,0.000000
1782679258864,6,1,2.767365,0.822571
1782679259455,7,0,0.000000,0.000000
1782679259455,7,1,2.767365,0.822601
1782679260036,8,0,0.000000,0.000000
1782679260036,8,1,3.187439,0.947571
1782679260055,9,0,0.000000,0.000000
1782679260055,9,1,3.494904,1.039093
1782679260580,10,0,0.000000,0.000000
1782679260580,10,1,3.647980,1.084717
1782679261196,11,0,0.000000,0.000000
1782679261196,11,1,3.326996,0.989349
1782679261209,12,0,0.000000,0.000000
1782679261209,12,1,3.326965,0.989441
1782679261724,13,0,0.000000,0.000000
1782679261724,13,1,3.326935,0.989532
1782679262323,14,0,0.000000,0.000000
1782679262323,14,1,3.494781,1.039551
1782679262938,15,0,0.000000,0.000000
1782679262938,15,1,3.832123,1.139587
1782679262957,16,0,0.000000,0.000000
1782679262957,16,1,3.647919,1.084900
1782679263551,17,0,0.000000,0.000000
1782679263551,17,1,3.647888,1.084991
1782679264473,18,0,0.000000,0.000000
1782679264473,18,1,3.647858,1.085083
1782679264501,19,0,0.000000,0.000000
1782679264501,19,1,3.831909,1.139923
1782679264515,20,0,0.000000,0.000000
1782679264515,20,1,4.201538,1.250031
1782679265087,21,0,0.000000,0.000000
1782679265087,21,1,4.606903,1.370789
1782679265702,22,0,0.000000,0.000000
1782679265702,22,1,5.051331,1.503204
1782679266315,23,0,0.000000,0.000000
1782679266315,23,1,4.606781,1.371063
1782679266327,24,0,0.000000,0.000000
1782679266327,24,1,4.385498,1.305328
1782679266930,25,0,0.000000,0.000000
1782679266930,25,1,5.317200,1.582825
1782679267494,26,0,0.000000,0.000000
1782679267494,26,1,3.999756,1.190338
1782679267509,27,0,0.000000,0.000000
1782679267509,27,1,3.326752,0.990143
1782679268057,28,0,0.000000,0.000000
1782679268057,28,1,5.317261,1.582764
1782679268673,29,0,0.000000,0.000000
1782679268673,29,1,4.808502,1.431458
1782679268684,30,0,0.000000,0.000000
1782679268684,30,1,4.385376,1.305634
1782679269286,31,0,0.000000,0.000000
1782679269286,31,1,3.831635,1.140869
1782679270003,32,0,0.000000,0.000000
1782679270003,32,1,3.647552,1.086151
1782679270015,33,0,0.000000,0.000000
1782679270015,33,1,3.831573,1.141052
1782679270616,34,0,0.000000,0.000000
1782679270616,34,1,3.494415,1.040741
1782679271334,35,0,0.000000,0.000000
1782679271334,35,1,3.326538,0.990845
1782679271351,36,0,0.000000,0.000000
1782679271351,36,1,3.326508,0.990936
1782679272050,37,0,0.000000,0.000000
1782679272050,37,1,3.326508,0.991028
1782679272073,38,0,0.000000,0.000000
1782679272073,38,1,3.033783,0.903900
1782679272665,39,0,0.000000,0.000000
1782679272665,39,1,2.906586,0.865753
1782679273216,40,0,0.000000,0.000000
1782679273216,40,1,2.301361,0.685547
1782679273732,41,0,0.000000,0.000000
1782679273732,41,1,2.098877,0.625275
1782679273745,42,0,0.000000,0.000000
1782679273745,42,1,2.098846,0.625336
1782679274302,43,0,0.000000,0.000000
1782679274302,43,1,2.417450,0.720337
1782679274917,44,0,0.000000,0.000000
1782679274917,44,1,2.766785,0.824493
1782679274931,45,0,0.000000,0.000000
1782679274931,45,1,2.650665,0.789948
1782679275532,46,0,0.000000,0.000000
1782679275532,46,1,2.523468,0.751831
1782679276146,47,0,0.000000,0.000000
1782679276146,47,1,2.301331,0.685699
1782679276163,48,0,0.000000,0.000000
1782679276163,48,1,2.195404,0.654205
1782679276678,49,0,0.000000,0.000000
1782679276678,49,1,2.301300,0.685822
1782679277272,50,0,0.000000,0.000000
1782679277272,50,1,2.301270,0.685883
1782679277891,51,0,0.000000,0.000000
1782679277891,51,1,2.098785,0.625580
1782679277905,52,0,0.000000,0.000000
1782679277905,52,1,3.999146,1.192108
1782679278429,53,0,0.000000,0.000000
1782679278429,53,1,5.514435,1.643982
1782679279116,54,0,0.000000,0.000000
1782679279116,54,1,3.999084,1.192322
1782679279133,55,0,0.000000,0.000000
1782679279133,55,1,2.639343,0.786987
1782679279730,56,0,0.000000,0.000000
1782679279730,56,1,2.523193,0.752411
1782679280448,57,0,0.000000,0.000000
1782679280448,57,1,2.417297,0.720856
1782679280462,58,0,0.000000,0.000000
1782679280462,58,1,2.417267,0.720917
1782679281063,59,0,0.000000,0.000000
1782679281063,59,1,2.301147,0.686340
1782679281676,60,0,0.000000,0.000000
1782679281676,60,1,2.116455,0.631317
1782679281695,61,0,0.000000,0.000000
1782679281695,61,1,2.301086,0.686462
1782679282290,62,0,0.000000,0.000000
1782679282290,62,1,1.913971,0.571014
1782679282904,63,0,0.000000,0.000000
1782679282904,63,1,1.745544,0.520782
1782679282924,64,0,0.000000,0.000000
1782679282924,64,1,1.268555,0.378510
1782679283522,65,0,0.000000,0.000000
1782679283522,65,1,1.101349,0.328644
1782679284135,66,0,0.000000,0.000000
1782679284135,66,1,1.207611,0.360382
1782679284148,67,0,0.000000,0.000000
1782679284148,67,1,1.207657,0.360306
1782679284748,68,0,0.000000,0.000000
1782679284748,68,1,1.207611,0.360321
1782679285397,69,0,0.000000,0.000000
1782679285397,69,1,1.152100,0.343689
1782679285410,70,0,0.000000,0.000000
1782679285410,70,1,1.101379,0.328583
1782679285975,71,0,0.000000,0.000000
1782679285975,71,1,1.004440,0.299698
1782679286693,72,0,0.000000,0.000000
1782679286693,72,1,0.958282,0.285858
1782679286706,73,0,0.000000,0.000000
1782679286706,73,1,1.004471,0.299667
1782679287428,74,0,0.000000,0.000000
1782679287428,74,1,1.004456,0.299683
1782679287451,75,0,0.000000,0.000000
1782679287451,75,1,1.207642,0.360321
1782679288025,76,0,0.000000,0.000000
1782679288025,76,1,1.390930,0.415039
1782679288589,77,0,0.000000,0.000000
1782679288589,77,1,1.451874,0.433258
1782679288626,78,0,0.000000,0.000000
1782679288626,78,1,1.390930,0.415100
1782679289254,79,0,0.000000,0.000000
1782679289254,79,1,1.451935,0.433197
1782679289867,80,0,0.000000,0.000000
1782679289867,80,1,1.451904,0.433228
1782679289884,81,0,0.000000,0.000000
1782679289884,81,1,1.518784,0.453079
1782679290482,82,0,0.000000,0.000000
1782679290482,82,1,1.518814,0.452988
1782679291199,83,0,0.000000,0.000000
1782679291199,83,1,1.452011,0.432968
1782679291215,84,0,0.000000,0.000000
1782679291215,84,1,1.451965,0.432983
1782679291730,85,0,0.000000,0.000000
1782679291730,85,1,1.452042,0.432907
1782679292331,86,0,0.000000,0.000000
1782679292331,86,1,1.452072,0.432816
1782679292344,87,0,0.000000,0.000000
1782679292344,87,1,1.452103,0.432724
1782679292940,88,0,0.000000,0.000000
1782679292940,88,1,1.324249,0.394653
1782679293658,89,0,0.000000,0.000000
1782679293658,89,1,1.324249,0.394684
1782679293675,90,0,0.000000,0.000000
1782679293675,90,1,1.324219,0.394714
1782679294194,91,0,0.000000,0.000000
1782679294194,91,1,1.324219,0.394745
1782679294885,92,0,0.000000,0.000000
1782679294885,92,1,1.385162,0.412933
1782679294902,93,0,0.000000,0.000000
1782679294902,93,1,1.263275,0.376617
1782679295505,94,0,0.000000,0.000000
1782679295505,94,1,1.207672,0.360077
1782679296116,95,0,0.000000,0.000000
1782679296116,95,1,1.152115,0.343552
1782679296129,96,0,0.000000,0.000000
1782679296129,96,1,1.207657,0.360153
1782679296728,97,0,0.000000,0.000000
1782679296728,97,1,1.156982,0.345062
1782679297343,98,0,0.000000,0.000000
1782679297343,98,1,1.157028,0.345016
1782679297366,99,0,0.000000,0.000000
1782679297366,99,1,1.207672,0.360138
1782679297957,100,0,0.000000,0.000000
1782679297957,100,1,1.101395,0.328476
1782679298577,101,0,0.000000,0.000000
1782679298577,101,1,1.101395,0.328476
1782679298594,102,0,0.000000,0.000000
1782679298594,102,1,1.101395,0.328476
1782679299186,103,0,0.000000,0.000000
1782679299186,103,1,1.156967,0.345078
1782679299903,104,0,0.000000,0.000000
1782679299903,104,1,1.156967,0.345108
1782679299915,105,0,0.000000,0.000000
1782679299915,105,1,1.101379,0.328552
1782679300520,106,0,0.000000,0.000000
1782679300520,106,1,1.101379,0.328583
1782679301233,107,0,0.000000,0.000000
1782679301233,107,1,1.101425,0.328537
1782679301252,108,0,0.000000,0.000000
1782679301252,108,1,1.055145,0.314758
1782679301951,109,0,0.000000,0.000000
1782679301951,109,1,1.156952,0.345154
1782679301967,110,0,0.000000,0.000000
1782679301967,110,1,1.101379,0.328613
1782679302564,111,0,0.000000,0.000000
1782679302564,111,1,1.207611,0.360321
1782679303180,112,0,0.000000,0.000000
1782679303180,112,1,1.207611,0.360352
1782679303195,113,0,0.000000,0.000000
1782679303195,113,1,1.324097,0.395142
