unix_ms,frame,node_idx,x,y
1782682689816,0,0,0.000000,0.000000
1782682689816,0,1,-2.350433,-8.846390
1782682689816,0,2,-1.351624,-13.179947
1782682689816,0,3,-20.436935,1.333923
1782682689816,0,4,-14.422638,-4.670853
1782682689816,0,5,-21.543228,-23.791367
1782682690338,1,0,0.000000,0.000000
1782682690338,1,1,-2.351120,-8.846222
1782682690338,1,2,-1.352554,-13.179886
1782682690338,1,3,-20.436768,1.335373
1782682690338,1,4,-14.422928,-4.669785
1782682690338,1,5,-21.544968,-23.789780
1782682690370,2,0,0.000000,0.000000
1782682690370,2,1,-2.351807,-8.846054
1782682690370,2,2,-1.353607,-13.179703
1782682690370,2,3,-20.436615,1.336899
1782682690370,2,4,-14.423264,-4.668686
1782682690370,2,5,-21.546738,-23.788177
1782682690894,3,0,0.000000,0.000000
1782682690894,3,1,-2.352402,-8.845871
1782682690894,3,2,-1.354523,-13.179611
1782682690894,3,3,-20.436600,1.338425
1782682690894,3,4,-14.423676,-4.667633
1782682690894,3,5,-21.548492,-23.786545
1782682690914,4,0,0.000000,0.000000
1782682690914,4,1,-2.353104,-8.845734
1782682690914,4,2,-1.355621,-13.179535
1782682690914,4,3,-20.436569,1.339828
1782682690914,4,4,-14.424057,-4.666611
1782682690914,4,5,-21.550369,-23.785080
1782682691434,5,0,0.000000,0.000000
1782682691434,5,1,-2.353699,-8.845505
1782682691434,5,2,-1.356461,-13.179428
1782682691434,5,3,-20.436340,1.341431
1782682691434,5,4,-14.424316,-4.665543
1782682691434,5,5,-21.552017,-23.783417
1782682692012,6,0,0.000000,0.000000
1782682692012,6,1,-2.354401,-8.845337
1782682692012,6,2,-1.357498,-13.179276
1782682692012,6,3,-20.436249,1.342911
1782682692012,6,4,-14.424667,-4.664413
1782682692012,6,5,-21.553741,-23.781738
1782682692034,7,0,0.000000,0.000000
1782682692034,7,1,-2.355026,-8.845154
1782682692034,7,2,-1.358398,-13.179199
1782682692034,7,3,-20.436127,1.344467
1782682692034,7,4,-14.424942,-4.663361
1782682692034,7,5,-21.555573,-23.780243
1782682692556,8,0,0.000000,0.000000
1782682692556,8,1,-2.355743,-8.844971
1782682692556,8,2,-1.359375,-13.179077
1782682692556,8,3,-20.436066,1.345993
1782682692556,8,4,-14.425369,-4.662247
1782682692556,8,5,-21.557343,-23.778610
1782682692576,9,0,0.000000,0.000000
1782682692576,9,1,-2.356384,-8.844818
1782682692576,9,2,-1.360352,-13.179016
1782682692576,9,3,-20.435944,1.347397
1782682692576,9,4,-14.425644,-4.661301
1782682692576,9,5,-21.558990,-23.777054
1782682693097,10,0,0.000000,0.000000
1782682693097,10,1,-2.357040,-8.844635
1782682693097,10,2,-1.361359,-13.178970
1782682693097,10,3,-20.435928,1.348969
1782682693097,10,4,-14.426102,-4.660217
1782682693097,10,5,-21.560791,-23.775513
1782682693651,11,0,0.000000,0.000000
1782682693651,11,1,-2.357620,-8.844498
1782682693651,11,2,-1.362320,-13.178864
1782682693651,11,3,-20.435745,1.350372
1782682693651,11,4,-14.426392,-4.659180
1782682693651,11,5,-21.562607,-23.774002
1782682693668,12,0,0.000000,0.000000
1782682693668,12,1,-2.358292,-8.844284
1782682693668,12,2,-1.363327,-13.178665
1782682693668,12,3,-20.435715,1.351959
1782682693668,12,4,-14.426758,-4.658051
1782682693668,12,5,-21.564362,-23.772278
1782682694271,13,0,0.000000,0.000000
1782682694271,13,1,-2.358994,-8.844147
1782682694271,13,2,-1.364319,-13.178665
1782682694271,13,3,-20.435638,1.353485
1782682694271,13,4,-14.427139,-4.657013
1782682694271,13,5,-21.566132,-23.770752
1782682694295,14,0,0.000000,0.000000
1782682694295,14,1,-2.359619,-8.843948
1782682694295,14,2,-1.365265,-13.178543
1782682694295,14,3,-20.435486,1.354965
1782682694295,14,4,-14.427475,-4.655960
1782682694295,14,5,-21.567856,-23.769119
1782682694880,15,0,0.000000,0.000000
1782682694880,15,1,-2.360245,-8.843781
1782682694880,15,2,-1.366211,-13.178421
1782682694880,15,3,-20.435425,1.356506
1782682694880,15,4,-14.427841,-4.654892
1782682694880,15,5,-21.569550,-23.767471
1782682695494,16,0,0.000000,0.000000
1782682695494,16,1,-2.360962,-8.843582
1782682695494,16,2,-1.367249,-13.178314
1782682695494,16,3,-20.435364,1.357971
1782682695494,16,4,-14.428162,-4.653824
1782682695494,16,5,-21.571381,-23.765915
1782682695523,17,0,0.000000,0.000000
1782682696111,18,0,0.000000,0.000000
1782682696134,19,0,0.000000,0.000000
1782682696655,20,0,0.000000,0.000000
1782682696676,21,0,0.000000,0.000000
1782682697235,22,0,0.000000,0.000000
1782682697253,23,0,0.000000,0.000000
1782682697850,24,0,0.000000,0.000000
1782682697876,25,0,0.000000,0.000000
1782682698402,26,0,0.000000,0.000000
1782682698432,27,0,0.000000,0.000000
1782682698955,28,0,0.000000,0.000000
1782682698979,29,0,0.000000,0.000000
1782682699509,30,0,0.000000,0.000000
1782682700111,31,0,0.000000,0.000000
1782682700133,32,0,0.000000,0.000000
1782682700718,33,0,0.000000,0.000000
1782682700741,34,0,0.000000,0.000000
1782682701269,35,0,0.000000,0.000000
1782682701298,36,0,0.000000,0.000000
